Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\glfw3_8h_source.html                      | HTML       |     -1,149 |         -4 |         -3 |     -1,156 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\glfw3native_8h.html                       | HTML       |       -154 |         -4 |         -3 |       -161 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\glfw3native_8h_source.html                | HTML       |       -279 |         -4 |         -3 |       -286 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__buttons.html                       | HTML       |       -245 |         -4 |        -27 |       -276 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__context.html                       | HTML       |       -277 |         -4 |        -15 |       -296 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__errors.html                        | HTML       |       -269 |         -4 |        -25 |       -298 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__gamepad__axes.html                 | HTML       |       -175 |         -4 |        -17 |       -196 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__gamepad__buttons.html              | HTML       |       -357 |         -4 |        -43 |       -404 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__hat__state.html                    | HTML       |       -203 |         -4 |        -21 |       -228 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__init.html                          | HTML       |       -507 |         -4 |        -35 |       -546 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__input.html                         | HTML       |     -2,114 |         -4 |       -111 |     -2,229 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__joysticks.html                     | HTML       |       -315 |         -4 |        -37 |       -356 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__keys.html                          | HTML       |     -1,793 |         -4 |       -247 |     -2,044 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__mods.html                          | HTML       |       -173 |         -4 |        -15 |       -192 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__monitor.html                       | HTML       |       -797 |         -4 |        -41 |       -842 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__native.html                        | HTML       |       -751 |         -4 |        -51 |       -806 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__shapes.html                        | HTML       |       -173 |         -4 |        -15 |       -192 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__vulkan.html                        | HTML       |       -334 |         -4 |        -15 |       -353 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\group__window.html                        | HTML       |     -3,215 |         -4 |       -209 |     -3,428 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\index.html                                | HTML       |        -87 |         -4 |         -3 |        -94 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\input_8dox.html                           | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\input_guide.html                          | HTML       |       -556 |         -4 |         -3 |       -563 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\internal_8dox.html                        | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\internals_guide.html                      | HTML       |       -119 |         -4 |         -3 |       -126 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\intro_8dox.html                           | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\intro_guide.html                          | HTML       |       -323 |         -4 |         -3 |       -330 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\jquery.js                                 | JavaScript |         -7 |        -27 |         -1 |        -35 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\main_8dox.html                            | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\menu.js                                   | JavaScript |       -107 |        -27 |         -2 |       -136 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\menudata.js                               | JavaScript |         -6 |        -24 |         -1 |        -31 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\modules.html                              | HTML       |        -88 |         -4 |         -3 |        -95 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\monitor_8dox.html                         | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\monitor_guide.html                        | HTML       |       -216 |         -4 |         -3 |       -223 |
