Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_0.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_0.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_1.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_1.js                         | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_2.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_2.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_3.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_3.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_4.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_4.js                         | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_5.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_5.js                         | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_6.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_6.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_7.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_7.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_8.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_8.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_9.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_9.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_a.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\pages_a.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\search.css                         | CSS        |       -211 |         -8 |        -45 |       -264 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\search.js                          | JavaScript |       -677 |        -60 |        -66 |       -803 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\searchdata.js                      | JavaScript |        -36 |          0 |         -4 |        -40 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\typedefs_0.html                    | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\typedefs_0.js                      | JavaScript |        -32 |          0 |         -1 |        -33 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_0.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_0.js                     | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_1.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_1.js                     | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_2.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_2.js                     | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_3.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_3.js                     | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_4.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_4.js                     | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_5.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_5.js                     | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_6.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_6.js                     | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_7.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\variables_7.js                     | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\spaces.svg                                | XML        |       -875 |         -1 |         -2 |       -878 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\structGLFWgamepadstate.html               | HTML       |       -117 |         -4 |         -9 |       -130 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\structGLFWgammaramp.html                  | HTML       |       -149 |         -4 |        -13 |       -166 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\structGLFWimage.html                      | HTML       |       -132 |         -4 |        -11 |       -147 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\structGLFWvidmode.html                    | HTML       |       -179 |         -4 |        -17 |       -200 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\tabs.css                                  | CSS        |         -1 |          0 |          0 |         -1 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\vulkan_8dox.html                          | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\vulkan_guide.html                         | HTML       |       -183 |         -4 |         -3 |       -190 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\window_8dox.html                          | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\window_guide.html                         | HTML       |       -750 |         -4 |         -3 |       -757 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\include\GLFW\glfw3.h                                | C++        |       -597 |     -5,068 |       -248 |     -5,913 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\include\GLFW\glfw3native.h                          | C++        |        -93 |       -495 |        -41 |       -629 |
| c:\Drive\Dev\CPP\opengl\Makefile                                                              | Makefile   |        -25 |        -16 |        -14 |        -55 |
| c:\Drive\Dev\CPP\opengl\OpenGL\init.json                                                      | JSON       |         -1 |          0 |          0 |         -1 |
| c:\Drive\Dev\CPP\opengl\OpenGL\loop.json                                                      | JSON       |         -1 |          0 |          0 |         -1 |
| c:\Drive\Dev\CPP\opengl\OpenGL\res\shaders\Basic.shader                                       | ShaderLab  |        -22 |          0 |         -9 |        -31 |
| c:\Drive\Dev\CPP\opengl\README.md                                                             | Markdown   |         -2 |          0 |         -1 |         -3 |
| c:\Drive\Dev\CPP\opengl\test.cpp                                                              | C++        |          0 |          0 |         -1 |         -1 |
| Total                                                                                         |            |    -54,006 |     -7,806 |     -8,792 |    -70,604 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
